5	11
index	alt	dummy	Kzz	Tgas	CO2	N2	O2	CH4	H2	CO	SO2	H2S	NH3	H2O	M
88	88	0	6490000	187	2.098E+12	5.265E+11	2.632E+04	2.632E+07	1.167E-02	2.632E+08	4.083E-03	4.083E-04	5.186E-03	7.897E+09	2.632E+12
89	89	0	7210000	187	1.747E+12	4.385E+11	2.193E+04	2.193E+07	9.717E-03	2.193E+08	3.401E-03	3.401E-04	4.320E-03	6.578E+09	2.193E+12
90	90	0	8000000	187	1.455E+12	3.653E+11	1.826E+04	1.826E+07	8.094E-03	1.826E+08	2.833E-03	2.833E-04	3.598E-03	5.479E+09	1.826E+12
91	91	0	8890000	188	1.324E+12	3.324E+11	1.662E+04	1.662E+07	7.365E-03	1.662E+08	2.578E-03	2.578E-04	3.274E-03	4.986E+09	1.662E+12
92	92	0	9880000	189	1.206E+12	3.028E+11	1.514E+04	1.514E+07	6.709E-03	1.514E+08	2.348E-03	2.348E-04	2.983E-03	4.542E+09	1.514E+12
93	93	0	11000000	189	1.007E+12	2.527E+11	1.263E+04	1.263E+07	5.599E-03	1.263E+08	1.960E-03	1.960E-04	2.489E-03	3.790E+09	1.263E+12
94	94	0	12200000	190	9.189E+11	2.306E+11	1.153E+04	1.153E+07	5.110E-03	1.153E+08	1.789E-03	1.789E-04	2.272E-03	3.459E+09	1.153E+12
95	95	0	13500000	191	8.395E+11	2.107E+11	1.053E+04	1.053E+07	4.668E-03	1.053E+08	1.634E-03	1.634E-04	2.075E-03	3.160E+09	1.053E+12
96	96	0	15000000	192	7.676E+11	1.926E+11	9.632E+03	9.632E+06	4.269E-03	9.632E+07	1.494E-03	1.494E-04	1.898E-03	2.890E+09	9.632E+11
97	97	0	16700000	193	7.025E+11	1.763E+11	8.816E+03	8.816E+06	3.907E-03	8.816E+07	1.367E-03	1.367E-04	1.737E-03	2.645E+09	8.816E+11
98	98	0	18500000	193	5.885E+11	1.477E+11	7.385E+03	7.385E+06	3.273E-03	7.385E+07	1.146E-03	1.146E-04	1.455E-03	2.216E+09	7.385E+11
99	99	0	20600000	194	5.396E+11	1.354E+11	6.772E+03	6.772E+06	3.001E-03	6.772E+07	1.050E-03	1.050E-04	1.334E-03	2.032E+09	6.772E+11
100	100	0	22900000	195	4.952E+11	1.243E+11	6.215E+03	6.215E+06	2.754E-03	6.215E+07	9.640E-04	9.640E-05	1.224E-03	1.864E+09	6.215E+11
